,0
0,0.171
1,0.16799999999999998
2,0.16568750000000002
3,0.16404999999999997
4,0.161625
5,0.1588
6,0.15549999999999994
7,0.1518958333333333
8,0.14894642857142856
9,0.14541071428571423
10,0.14242647058823532
11,0.14
12,0.137025
13,0.13421739130434782
14,0.13156818181818186
15,0.12920833333333334
16,0.1270416666666667
17,0.12520689655172415
18,0.12279166666666666
19,0.12055833333333334
20,0.1185887096774193
21,0.11670138888888888
22,0.11465441176470602
23,0.11272142857142863
24,0.11043421052631584
25,0.10828571428571426
26,0.10584659090909092
27,0.10386585365853665
28,0.10199404761904773
29,0.09970312500000007
30,0.09770212765957448
31,0.0955769230769231
32,0.093545
33,0.09155769230769224
34,0.08937719298245601
35,0.08736538461538462
36,0.08519396551724139
37,0.08317982456140355
38,0.08095312500000013
39,0.0790645161290323
40,0.07731779661016956
41,0.07556617647058836
42,0.07390530303030307
43,0.0721388888888889
44,0.07065217391304347
45,0.06930514705882351
46,0.06769594594594595
47,0.06602739726027398
48,0.06421794871794863
49,0.0628552631578947
50,0.06109523809523809
51,0.05955864197530856
52,0.05834615384615379
53,0.057072674418604544
54,0.05579629629629622
55,0.05435372340425524
56,0.05313953488372095
57,0.05199444444444452
58,0.05106318681318689
59,0.04967119565217394
60,0.04841071428571436
61,0.047242268041237115
62,0.04626020408163268
63,0.045210000000000014
64,0.04429896907216491
65,0.04316435185185181
66,0.042124999999999996
67,0.04135613207547164
68,0.040721238938053066
69,0.04007451923076922
70,0.039725446428571363
71,0.03929906542056069
72,0.03880624999999986
73,0.03810775862068956
74,0.03754956896551716
75,0.03702941176470582
76,0.036624999999999984
77,0.03620161290322577
78,0.03576680672268906
79,0.03530443548387096
80,0.03500192307692306
81,0.03469199999999997
82,0.034388059701492474
83,0.03401785714285708
84,0.03370708955223872
85,0.03341970802919701
86,0.03320955882352935
87,0.0330416666666666
88,0.03290076335877855
89,0.03249833333333326
90,0.03223913043478252
91,0.031795138888888824
92,0.03135862068965508
93,0.031347602739725984
94,0.031024671052631504
95,0.03107413793103447
96,0.030948333333333262
97,0.031052215189873344
98,0.031065789473684144
99,0.03088198757763969
100,0.030868421052631528
101,0.030713855421686642
102,0.03063664596273283
103,0.030631410256410196
104,0.03046428571428562
105,0.03056521739130425
106,0.030488505747126332
107,0.030583333333333244
108,0.030683734939758938
109,0.030751461988303957
110,0.0307558139534882
111,0.03081111111111099
112,0.030678571428571305
113,0.03060393258426957
114,0.030467741935483742
115,0.03047222222222212
116,0.030479050279329546
117,0.030391304347825984
118,0.030388297872340344
119,0.030223544973544878
120,0.030257978723404185
121,0.030156249999999923
122,0.030040155440414485
123,0.030148058252427105
124,0.030018617021276516
125,0.030030940594059294
126,0.02987433862433855
127,0.029833333333333305
128,0.02987621359223292
129,0.029708121827411088
130,0.02972738095238086
131,0.029584158415841468
132,0.029645833333333243
133,0.029708530805687076
134,0.029737499999999882
135,0.029851136363636257
136,0.029737089201877807
137,0.02977064220183477
138,0.029622685185185117
139,0.029481220657276905
140,0.029550438596491167
141,0.02920986238532096
142,0.029184151785714187
143,0.029108888888888778
144,0.029025219298245485
145,0.028866452991452886
146,0.028681718061673876
147,0.028632675438596388
148,0.028410714285714195
149,0.028348516949152417
150,0.02824472573839656
151,0.028003260869565123
152,0.02795901639344248
153,0.027755274261603253
154,0.027696999999999913
155,0.027454166666666512
156,0.027259221311475266
157,0.02714215686274502
158,0.02703333333333328
159,0.027166999999999924
160,0.02692928286852573
161,0.026866477272727157
162,0.026823242187499912
163,0.026725903614457727
164,0.02690865384615373
165,0.02669186046511616
166,0.026614814814814727
167,0.026468871595330633
168,0.02639941406249987
169,0.026520985401459734
170,0.026371747211895762
171,0.02636388888888879
172,0.02633834586466161
173,0.026345323741007134
174,0.026379061371841046
175,0.026337962962962865
176,0.02639928057553945
177,0.026419741697416857
178,0.026423611111110953
179,0.026492957746478748
180,0.02656227436823093
181,0.02651835664335655
182,0.026518835616438235
183,0.026505952380952276
184,0.02651433691756261
185,0.026559931506849214
186,0.026614166666666546
187,0.026718430034129565
188,0.02663851351351338
189,0.026642979452054676
190,0.02664513422818782
191,0.02659120521172637
192,0.02669132653061216
193,0.026734775641025665
194,0.02688712374581933
195,0.026991185897435956
196,0.027024839743589747
197,0.027116830065359487
198,0.02710079365079364
199,0.02737418831168825
200,0.027256944444444375
201,0.02747491909385106
202,0.027624193548387105
203,0.027789909638554346
204,0.027848580441640416
205,0.027853030303030425
206,0.02796281645569621
207,0.028032975460122823
208,0.028111027190332434
209,0.0282208588957056
210,0.028301829268292774
211,0.028494065281899246
212,0.028593562874251667
213,0.028659226190476377
214,0.02874851190476207
215,0.028811933534743282
216,0.028929913294797868
217,0.028970930232558298
218,0.028981563421829015
219,0.029010115606936553
220,0.029111271676300714
221,0.02912249283667635
222,0.029236657303370907
223,0.029234738372093113
224,0.029340083798882862
225,0.029368194842407044
226,0.029455056179775473
227,0.029522598870056614
228,0.02952823691460081
229,0.02960828877005373
230,0.029625000000000165
231,0.029711805555555658
232,0.029808539944903668
233,0.029849184782608746
234,0.02986772486772492
235,0.030129501385041578
236,0.03021216216216224
237,0.03022828947368428
238,0.03040909090909104
239,0.030333333333333462
240,0.030601775956284216
241,0.030429846938775554
242,0.030648578811369558
243,0.030746693121693206
244,0.030730670103092817
245,0.03097252010723862
246,0.03085952970297031
247,0.030941709844559635
248,0.03096007853403151
249,0.03087595907928388
250,0.031040592783505065
251,0.030836874999999972
252,0.031238607594936647
253,0.031070351758793947
254,0.03104331683168318
255,0.031166256157635453
